#expressedGenes,#expressedDiseaseGenes,lcc,lcczscore
6160,7,1,-0.369274
5679,10,2,1.215785
6419,11,3,3.490778
6430,10,2,1.593118
2189,6,1,-0.373632
2016,4,1,-0.229416
7093,14,2,1.439699
8109,12,3,2.763815
3604,4,1,-0.204124
6105,13,3,3.798773
3342,5,1,-0.3386
4304,11,3,4.151579
6691,7,1,-0.229416
2641,4,1,-0.175863
5856,13,2,1.052633
4224,8,3,5.304727
4838,8,3,5.181036
6439,12,3,2.514479
6145,12,3,3.310064
6196,10,2,1.788854
7125,13,3,3.49929
6780,11,3,3.837613
7672,14,2,1.212256
3390,7,2,2.844452
3450,6,1,-0.239957
2632,2,1,-0.142857
2406,5,1,-0.204124
6000,10,2,1.472947
3347,5,1,-0.261488
6117,12,3,3.53009
3979,6,2,2.380476
6513,13,3,2.049439
6849,14,2,0.936459
7763,13,2,1.108874
1967,4,1,-0.100504
4925,9,3,3.913571
7596,11,3,8.947214
2972,3,1,-0.100504
7772,11,2,1.496683
2987,4,1,-0.229416
6181,8,2,2.844452
5316,6,1,-0.261488
7953,17,4,3.357821
8274,16,2,1.2465
8882,15,3,3.010785
6556,10,2,2.09108
2995,4,1,-0.204124
1369,4,1,-0.281939
6745,14,3,3.043414
7734,12,2,1.572427
4412,7,2,3.391165
5561,5,2,7.0
8554,16,3,2.650624
2999,11,1,-0.646733
6402,12,2,1.464819
2355,2,1,0.0
5508,12,3,2.523573
5805,9,3,6.333333
5985,8,3,4.559354
8654,16,3,2.643035
7719,11,3,3.517632
3171,7,2,3.179797
1900,3,1,-0.142857
4270,6,1,-0.229416
2724,3,1,-0.100504
6519,10,2,1.611559
6673,10,2,2.002981
4805,6,1,-0.217072
2646,2,1,-0.142857
6512,10,3,3.072189
2560,2,1,0.0
7451,12,2,1.197342
5299,8,2,2.291288
6801,11,3,3.131935
8193,11,1,-0.455621
6666,14,3,3.271652
3877,4,1,-0.100504
7442,13,3,2.504617
6605,11,2,1.566726
5974,11,3,2.082942
5018,8,1,-0.356332
8775,11,2,3.0
1664,3,2,4.358899
7197,14,3,2.777492
6867,13,2,1.194101
3139,7,1,-0.312737
7520,14,3,3.017997
8532,13,2,1.283516
7446,13,3,3.079589
3602,6,2,4.898979
3363,7,2,1.60751
8067,17,3,2.193262
6462,11,3,3.316171
4026,5,1,-0.274352
7296,15,3,2.572896
8140,15,3,2.80938
1885,5,1,-0.351562
7100,15,3,1.54899
9206,10,2,1.962991
2533,4,1,-0.252646
2592,7,2,2.147318
3135,2,1,-0.100504
8584,13,2,1.472947
8046,18,3,2.035401
7592,12,3,3.49929
2126,2,1,0.0
7861,14,3,3.65379
7829,12,2,1.632993
7967,12,3,3.944799
7004,11,3,4.066514
6880,12,2,1.687055
1670,1,1,0.0
8034,15,3,2.859405
2510,3,1,-0.175863
2023,3,1,-0.100504
5580,8,1,-0.294884
7652,14,2,1.212256
4011,5,1,-0.175863
2842,7,1,-0.252646
3525,7,1,-0.301511
1532,5,1,-0.252646
7837,17,3,1.787964
5836,12,3,2.32052
4030,8,1,-0.420084
5626,12,2,1.059741
6103,6,2,2.850718
5635,11,2,1.183216
8966,14,3,3.446562
5313,9,2,1.885618
6658,12,3,1.687421
2146,5,1,-0.294884
4660,9,1,-0.398673
6099,12,3,3.156821
4706,7,2,2.844452
5921,12,3,2.499814
3716,7,2,2.713602
9303,16,3,1.805672
7317,11,3,3.869565
4582,8,2,2.076881
8056,13,3,3.798773
7575,13,3,3.471314
4912,7,1,-0.314485
1067,3,1,-0.175863
3879,5,1,-0.204124
1064,0,0,0.0
1587,2,1,-0.100504
5713,11,3,2.483512
7548,10,3,3.71864
5660,9,2,2.478479
2689,5,1,-0.281939
6059,13,2,1.572427
7461,14,3,2.981048
6080,13,3,2.529956
6594,9,1,-0.3386
8447,15,3,3.023716
3661,6,3,6.333333
4719,9,3,4.520269
3901,7,1,-0.399475
1575,4,2,3.391165
6763,13,2,1.472947
5106,9,3,5.019011
7076,12,3,3.869565
3551,6,2,4.898979
6836,12,2,1.33928
4512,10,2,2.209605
7663,11,3,3.490778
6025,10,3,4.29696
5264,8,2,2.586949
5718,9,2,2.067904
5795,10,3,3.798773
1854,2,1,-0.142857
7830,15,3,2.599777
6378,13,3,3.333847
1938,2,1,0.0
4414,8,2,1.962991
8230,15,3,3.112743
8811,13,3,4.041452
8090,9,2,3.179797
1850,2,1,-0.100504
8438,11,1,-0.395056
1530,1,1,0.0
3615,5,2,4.358899
6464,11,1,-0.592749
6117,10,2,1.705606
7208,12,2,1.581339
7879,17,3,2.0226
7550,14,1,-0.714815
7874,15,4,3.730966
6972,13,2,1.278977
7451,12,3,2.479705
9161,15,3,2.97551
8076,12,1,-0.483368
5881,12,2,1.283551
3976,6,2,3.179797
7410,11,2,1.674827
4497,5,1,-0.261488
5444,12,2,0.847108
8875,15,3,2.047623
8121,10,2,2.483064
4105,5,1,-0.175863
1013,3,1,-0.19245
8044,12,3,4.205949
4371,8,1,-0.386556
4437,8,2,2.137744
5865,9,1,-0.407189
5816,9,1,-0.455621
5785,9,3,4.406001
4156,6,2,2.713602
7128,10,2,1.543644
6695,10,2,2.213211
7540,15,3,3.277379
3241,6,1,-0.204124
7864,13,3,3.229168
3418,5,1,-0.333333
8094,16,3,1.48363
7440,11,3,3.766127
4031,4,1,-0.142857
2228,2,1,-0.100504
2716,5,1,-0.19245
7984,13,3,3.597808
6101,8,2,2.384681
3629,7,1,-0.45257
4940,10,2,1.632993
7998,10,2,2.29517
6452,11,2,1.829707
5464,6,3,7.077214
928,2,1,-0.142857
7206,14,2,1.689306
8658,19,4,2.676428
7558,13,3,2.891399
6915,10,3,4.559354
8261,14,3,3.4
7156,11,2,1.483651
4061,8,1,-0.329617
6660,10,2,2.478479
4191,8,1,-0.373632
6033,11,3,3.41189
5424,10,2,1.043498
8486,14,3,3.198078
2160,2,1,0.0
5026,7,1,-0.252646
1697,5,2,2.844452
4104,6,1,-0.19245
7260,8,2,2.850718
6356,11,3,2.907507
2181,7,2,2.147318
7577,12,3,3.766127
5839,8,1,-0.351562
6104,5,1,-0.142857
5217,9,3,5.304727
3475,5,1,-0.204124
5908,9,2,2.380476
8194,17,3,2.537236
2252,4,1,-0.229416
8265,14,3,4.242641
6142,12,3,3.732031
5628,7,2,2.850718
5552,10,2,1.939563
8547,13,3,2.859405
7457,12,3,4.242641
6109,12,2,1.182373
4385,8,2,2.213211
3161,6,2,2.483064
5926,14,2,1.196249
6568,9,2,1.893204
4183,10,3,5.7853
7105,13,3,3.49929
4317,8,1,-0.447214
2702,6,2,2.496151
4053,12,3,1.720239
6610,8,1,-0.314485
7712,13,2,1.2465
9024,12,2,1.354526
6012,12,2,1.081894
6595,14,3,2.392085
3102,6,1,-0.19245
3946,5,1,-0.229416
6052,9,2,2.380476
6153,9,3,4.379199
2734,2,1,0.0
1940,3,1,-0.175863
7030,12,2,1.499191
6651,12,3,3.188596
4783,10,2,1.237179
6535,11,2,1.368494
6077,8,2,2.137744
7678,14,2,1.36936
6900,15,3,2.328935
3370,9,3,4.242641
5776,10,1,-0.423547
7835,14,2,1.196249
2488,6,1,-0.314485
2629,3,1,-0.175863
8047,13,3,2.572896
6014,8,2,2.076881
7675,13,1,-0.554495
7158,15,2,1.306549
8200,9,1,-0.301511
6224,11,3,3.869565
2867,8,2,2.478479
1307,2,1,-0.100504
6510,11,1,-0.386556
6142,13,3,2.388999
6814,13,3,3.574756
6392,11,2,2.002981
3415,7,1,-0.373632
5019,11,3,3.241247
3261,6,1,-0.252646
6037,11,2,1.652574
7074,10,1,-0.305304
7114,10,2,2.064742
6689,11,1,-0.37834
3947,6,1,-0.314485
4654,8,1,-0.314485
5389,7,2,2.844452
3588,8,1,-0.281939
6263,8,2,2.306227
4429,3,1,0.0
1350,3,1,-0.204124
7431,12,3,3.131935
5759,12,3,2.599777
1404,4,1,-0.204124
1549,4,1,-0.229416
6517,9,2,1.905159
7288,11,3,4.080798
3710,4,1,-0.175863
7647,14,2,1.085314
8038,12,1,-0.415581
4812,9,2,2.213211
8255,14,3,2.512912
5965,12,2,1.310556
7393,14,3,2.643335
5685,12,3,3.268233
5507,10,2,1.781955
6475,14,2,1.125898
3728,7,2,1.647929
4018,8,2,1.950378
4545,6,1,-0.294884
6505,11,1,-0.408248
4424,10,3,3.766127
3982,5,1,-0.142857
3058,3,1,-0.142857
6673,11,3,3.143223
8894,12,3,3.798773
7260,13,3,3.286456
7285,15,3,2.599777
7152,10,2,1.624331
4157,6,1,-0.333333
3816,8,1,-0.407249
3559,10,2,1.231554
6158,14,3,2.584759
3213,6,2,3.391165
8014,16,4,4.262014
7211,11,2,1.535019
4011,7,1,-0.37909
8384,12,3,3.217811
5897,8,1,-0.100504
5380,11,2,1.431789
7442,12,3,4.682677
6116,9,1,-0.351562
5743,9,2,2.29517
980,2,1,0.0
4866,11,3,3.635026
7469,11,1,-0.471405
3709,4,1,-0.142857
7752,14,3,2.743977
1968,9,2,1.499191
5554,9,1,-0.455621
6405,14,2,1.183216
6498,11,2,1.832261
7736,12,2,1.499191
4856,8,1,-0.423547
7737,14,3,2.949787
2244,4,1,-0.229416
